Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt,Deposit Amt,Closing Balance
2026-09-01,UPI/SWIGGY/swiggy@icici/Food delivery/623490182741,623490182741,2026-09-01,489.00,,124511.00
2026-09-01,ACH-SALARY-ACME TECH PVT LTD-SEPT2026,ACH991823,2026-09-01,,185000.00,309511.00
2026-09-02,UPI/ZOMATO/zomato@hdfcbank/Dinner order/623518293012,623518293012,2026-09-02,840.00,,308671.00
2026-09-03,UPI/BLINKIT/blinkit@icici/Grocery morning/623691820491,623691820491,2026-09-03,1249.50,,307421.50
2026-09-04,UPI/UBER/uber.rides@hdfc/Cab to Airport/623719028471,623719028471,2026-09-04,640.00,,306781.50
2026-09-05,POS-HPCL FUEL STATION BANGALORE,POS819283,2026-09-05,2500.00,,304281.50
2026-09-06,UPI/AMAZON/amazonpay@icici/Electronics accessories/623910293812,623910293812,2026-09-06,3499.00,,300782.50
2026-09-07,NEFT CR-MR RAHUL SHARMA-FREELANCE DESIGN,N12093847,2026-09-07,,35000.00,335782.50
2026-09-08,UPI/NETFLIX/netflix.in@hdfc/Monthly Sub/624109283719,624109283719,2026-09-08,649.00,,335133.50
2026-09-09,UPI/ZEPTO/zepto@axis/Groceries late night/624219028371,624219028371,2026-09-09,420.00,,334713.50
2026-09-10,ATM-WDL-HDFC ATM KORAMANGALA BLR,ATM109283,2026-09-10,5000.00,,329713.50
2026-09-11,UPI/APOLLO PHARMACY/apollo@sbi/Medicines/624419203918,624419203918,2026-09-11,780.00,,328933.50
2026-09-12,UPI/JIO/recharge.jio@hdfc/Fiber bill/624519203918,624519203918,2026-09-12,1178.82,,327754.68
2026-09-13,UPI/RAPIDO/rapido@icici/Auto ride/624619203918,624619203918,2026-09-13,95.00,,327659.68
2026-09-14,UPI/MYNTRA/myntra@hdfc/Clothing summer/624719203918,624719203918,2026-09-14,2890.00,,324769.68
2026-09-15,INT.PD-SAVINGS BANK INTEREST QUARTERLY,INT829102,2026-09-15,,1420.00,326189.68
