Transaction Date,Description,Reference No,Debit,Credit,Balance
2026-09-01,CLIENT INVOICE #1042 PAYMENT RECEIVED - ACME CORP,TXN992019,,250000.00,820000.00
2026-09-02,AWS EMEA AWS.AMAZON.COM SERVER CLOUD HOSTING,AWS771029,18450.00,,801550.00
2026-09-03,GOOGLE WORKSPACE APPS GSUITE MONTHLY,GSUITE9918,4200.00,,797350.00
2026-09-05,OFFICE RENT WEWORK COWORKING SPACES,RENT88192,65000.00,,732350.00
2026-09-07,SWIGGY FOR WORK - TEAM LUNCH FOOD DELIVERY,SWG882910,3450.00,,728900.00
2026-09-08,NOTION LABS ANNUAL SUBSCRIPTION,NOTION881,12800.00,,716100.00
2026-09-10,CLIENT INVOICE #1043 RETAINER - STARK LABS,TXN992044,,175000.00,891100.00
2026-09-12,AIRTEL BROADBAND FIBRE LEASED LINE BILL,AIRTEL001,4999.00,,886101.00
2026-09-14,ELECTRICITY BESCOM UTILITY BILL PAYMENT,BESCOM881,6800.00,,879301.00
2026-09-15,UPI/UBER/uber.business@hdfc/Team client visit,UBER88291,1420.00,,877881.00
